Timestamp;Thumb Bending;Index Bending;Middle Bending;Ring Bending;Pinky Bending
15: 44: 18.752;0.596078;0.772549;0.113725;0.0235294;0.407843
15: 44: 18.771;0.72549;0.803922;0.490196;0;0.662745
15: 44: 18.790;0.309804;0.819608;0.898039;0.00392157;0.819608
15: 44: 18.809;0.309804;0.819608;0.898039;0.00392157;0.819608
15: 44: 18.846;0.780392;0.784314;0.788235;0;0.00392157
15: 44: 18.847;0.780392;0.784314;0.788235;0;0.00392157
15: 44: 18.865;0;0.792157;0.54902;0.988235;0.341176
15: 44: 18.884;0.698039;0.815686;0.54902;0.988235;0.909804
15: 44: 18.902;0.698039;0.815686;0.54902;0.988235;0.909804
15: 44: 18.921;0.807843;0.788235;0.94902;0.913725;0.27451
15: 44: 18.941;0.372549;0.764706;0.298039;0.87451;0.0352941
15: 44: 18.959;0.372549;0.764706;0.298039;0.87451;0.0352941
15: 44: 18.977;0.988235;0.796078;0.807843;0.886275;0.384314
15: 44: 18.996;0.988235;0.796078;0.807843;0.886275;0.384314
15: 44: 19.015;0.898039;0.811765;0.494118;0.901961;0.819608
15: 44: 19.034;0.941176;0.780392;0.356863;0.886275;0.160784
15: 44: 19.052;0.941176;0.780392;0.356863;0.886275;0.160784
15: 44: 19.071;0;0.792157;0.756863;0.858824;0.392157
15: 44: 19.090;0.309804;0.819608;0.878431;0.843137;0.403922
15: 44: 19.109;0.309804;0.819608;0.878431;0.843137;0.403922
15: 44: 19.127;0.780392;0.784314;0.364706;0.870588;0.909804
15: 44: 19.146;0.780392;0.784314;0.364706;0.870588;0.909804
15: 44: 19.165;0.345098;0.768627;0.72549;0.937255;0.392157
15: 44: 19.184;0.345098;0.8;0.133333;0.921569;0.384314
15: 44: 19.202;0.345098;0.8;0.133333;0.921569;0.384314
15: 44: 19.221;0.309804;0.819608;0.992157;0.92549;0.819608
15: 44: 19.240;0.4;0.788235;0.992157;0.92549;0.466667
15: 44: 19.259;0.4;0.788235;0.992157;0.92549;0.466667
15: 44: 19.277;0.0588235;0.827451;0.137255;0.376471;0.329412
15: 44: 19.296;0.0588235;0.827451;0.137255;0.376471;0.329412
15: 44: 19.315;0.94902;0.913725;0.160784;0.729412;0.294118
15: 44: 19.334;0.913725;0.984314;0.701961;0.639216;0.494118
15: 44: 19.352;0.913725;0.984314;0.701961;0.639216;0.494118
15: 44: 19.371;0.156863;0.0392157;0.580392;0.384314;0.792157
15: 44: 19.390;0.690196;0.113725;0;0;0.54902
15: 44: 19.409;0.690196;0.113725;0;0;0.54902
15: 44: 19.427;0.937255;0.180392;0;0;0.870588
15: 44: 19.465;0.937255;0.180392;0;0;0.870588
15: 44: 19.484;0.235294;0.313726;0;0;0.223529
15: 44: 19.502;0.235294;0.313726;0;0;0.223529
15: 44: 19.521;0.286275;0.368627;0;0;0.6
15: 44: 19.540;0.345098;0.411765;0;0;0.290196
15: 44: 19.559;0.345098;0.411765;0;0;0.290196
15: 44: 19.577;0.905882;0.45098;0;0;0.290196
15: 44: 19.596;0.905882;0.45098;0;0;0.290196
15: 44: 19.615;0.862745;0.47451;0;0;0.12549
15: 44: 19.634;0.627451;0.490196;0;0;0.992157
15: 44: 19.652;0.627451;0.490196;0;0;0.992157
15: 44: 19.671;0.545098;0.501961;0;0;0.952941
15: 44: 19.690;0.203922;0.505882;0;0;0.505882
15: 44: 19.709;0.203922;0.505882;0;0;0.505882
15: 44: 19.727;0.792157;0.505882;0;0;0.0156863
15: 44: 19.746;0.792157;0.505882;0;0;0.0156863
15: 44: 19.765;0.792157;0.505882;0;0;0.290196
15: 44: 19.784;0.792157;0.505882;0;0;0.584314
15: 44: 19.802;0.792157;0.505882;0;0;0.584314
15: 44: 19.821;0.792157;0.505882;0;0;0.290196
15: 44: 19.840;0.792157;0.505882;0;0;0.584314
15: 44: 19.859;0.792157;0.505882;0;0;0.584314
15: 44: 19.877;0.886275;0.509804;0;0;0.505882
15: 44: 19.896;0.886275;0.509804;0;0;0.564706
15: 44: 19.915;0.886275;0.509804;0;0;0.564706
15: 44: 19.934;0.886275;0.509804;0;0;0.701961
15: 44: 19.952;0.886275;0.509804;0;0;0.701961
15: 44: 19.971;0.886275;0.509804;0;0;0.156863
15: 44: 19.990;0.792157;0.505882;0;0;0.701961
15: 44: 20.009;0.792157;0.505882;0;0;0.701961
15: 44: 20.027;0.203922;0.505882;0;0;0.156863
15: 44: 20.046;0.121569;0.501961;0;0;0.701961
15: 44: 20.065;0.121569;0.501961;0;0;0.701961
15: 44: 20.103;0.545098;0.501961;0;0;0.564706
15: 44: 20.121;0.545098;0.501961;0;0;0.145098
15: 44: 20.140;0.941176;0.498039;0;0;0.0156863
15: 44: 20.159;0.941176;0.498039;0;0;0.0156863
15: 44: 20.177;0.941176;0.498039;0;0;0.290196
15: 44: 20.196;0.788235;0.494118;0;0;0.584314
15: 44: 20.215;0.788235;0.494118;0;0;0.584314
15: 44: 20.234;0.788235;0.494118;0;0;0.156863
15: 44: 20.252;0.788235;0.494118;0;0;0.156863
15: 44: 20.271;0.788235;0.494118;0;0;0.992157
15: 44: 20.290;0.788235;0.494118;0;0;0.992157
15: 44: 20.309;0.788235;0.494118;0;0;0.992157
15: 44: 20.327;0.627451;0.490196;0;0;0.564706
15: 44: 20.365;0.627451;0.490196;0;0;0.584314
15: 44: 20.384;0.627451;0.490196;0;0;0.156863
15: 44: 20.402;0.627451;0.490196;0;0;0.156863
15: 44: 20.421;0.627451;0.490196;0;0;0.701961
15: 44: 20.440;0.627451;0.490196;0;0;0.156863
15: 44: 20.459;0.627451;0.490196;0;0;0.156863
15: 44: 20.515;0.458824;0.486275;0;0;0.156863
15: 44: 20.534;0.458824;0.486275;0;0;0.156863
15: 44: 20.552;0.278431;0.482353;0;0;0.701961
15: 44: 20.571;0.619608;0.470588;0;0;0.156863
15: 44: 20.590;0.705882;0.458824;0;0;0.584314
15: 44: 20.609;0.705882;0.458824;0;0;0.584314
15: 44: 20.627;0.917647;0.447059;0;0;0.564706
15: 44: 20.646;0.341176;0.443137;0;0;0.564706
15: 44: 20.665;0.341176;0.443137;0;0;0.564706
15: 44: 20.684;0.709804;0.439216;0;0;0.584314
15: 44: 20.702;0.709804;0.439216;0;0;0.584314
15: 44: 20.721;0.0117647;0.435294;0;0;0.156863
15: 44: 20.740;0.341176;0.443137;0;0;0.701961
15: 44: 20.759;0.341176;0.443137;0;0;0.701961
15: 44: 20.777;0.341176;0.443137;0;0;0.290196
15: 44: 20.796;0.705882;0.458824;0;0;0.701961
15: 44: 20.815;0.705882;0.458824;0;0;0.701961
15: 44: 20.834;0.0784314;0.478431;0;0;0.290196
